__rep__,12,15,quantity,sale_value
House,773,CS,4.0,420.2
House,142,CS,4.0,152.4
House,143,EA,63.0,57.959999999999994
House,795,CS,5.0,208.25
House,281,CS,1.0,40.5
House,514,BX,3.0,21.0
House,697,BX,6.0,82.0
House,504,BX,1.0,10.99
House,723,EA,24.0,46.92
House,901,CS,6.0,462.29999999999995
House,723,CS,6.0,586.5
House,285,CS,1.0,47.55
House,904,EA,42.0,331.68999999999994
House,791,CS,1.0,33.25
House,514,EA,15.0,2.0999999999999996
House,696,CS,1.0,76.88
House,904,CS,2.0,157.9
House,142,EA,175.0,133.35000000000002
Rep1,407,CS,9.0,1326.6
Rep1,697,BX,4.0,54.67
Rep1,906,CS,1.0,57.35
Rep1,696,CS,1.0,76.88
Rep1,501,BX,6.0,59.38
Rep1,148,EA,22.0,42.08
Rep1,281,CS,4.0,162.0
Rep1,280,CS,4.0,162.0
Rep1,511,BX,3.0,38.01
Rep1,795,EA,400.0,16.66
Rep1,282,EA,1.0,1.62
Rep1,904,EA,59.0,465.89000000000004
Rep1,596,CS,1.0,74.0
Rep1,284,CS,1.0,40.5
Rep1,502,BX,1.0,12.0
Rep1,795,CS,12.0,499.79999999999995
Rep1,490,CS,1.0,59.0
Rep1,136,CS,1.0,40.5
Rep1,799,EA,203.0,444.62999999999994
Rep1,279,CS,2.0,81.0
Rep1,716,EA,3.0,2.83
Rep1,151,CS,1.0,170.09
Rep1,4604,BG,4.0,43.0
Rep1,406,CS,11.0,326.15
Rep1,407,BX,2.0,73.7
Rep1,716,CS,2.0,90.4
Rep1,282,BX,1.0,40.5
Rep1,696,BX,17.0,217.82
Rep1,296,CS,7.0,230.64999999999998
Rep1,298,CS,11.0,362.44999999999993
Rep1,150,CS,3.0,579.6
Rep1,298,EA,85.0,56.02
Rep1,698,BX,3.0,135.12
Rep1,907,CS,1.0,79.5
Rep1,901,CS,3.0,231.15
Rep10,282,BX,1.0,40.5
Rep10,298,CS,17.0,560.1500000000001
Rep10,283,BX,1.0,40.5
Rep10,298,EA,70.0,46.13999999999999
Rep10,284,CS,1.0,40.5
Rep10,490,CS,2.0,118.0
Rep10,501,BX,1.0,9.9
Rep10,4604,BG,3.0,32.25
Rep10,901,CS,3.0,231.14999999999998
Rep10,407,CS,1.0,147.4
Rep10,281,CS,1.0,40.5
Rep10,280,CS,1.0,40.5
Rep10,279,CS,1.0,40.5
Rep10,818,CS,2.0,183.6
Rep11,791,CS,1.0,33.25
Rep11,284,EA,5.0,8.1
Rep13,911,EA,41.0,531.7700000000002
Rep13,718,EA,24.0,14.61
Rep13,501,BX,1.0,9.9
Rep13,716,EA,42.0,39.56
Rep13,595,CS,3.0,222.0
Rep13,795,EA,50.0,2.08
Rep13,153,EA,36.0,220.45999999999998
Rep13,696,CS,2.0,153.76
Rep13,737,CS,1.0,43.85
Rep13,141,CS,1.0,35.4
Rep13,707,EA,1690.0,355.95
Rep13,716,CS,4.0,180.8
Rep13,696,EA,302.0,77.39999999999999
Rep13,906,CS,1.0,57.35
Rep13,904,EA,281.0,2218.7400000000007
Rep13,279,CS,1.0,40.5
Rep13,298,EA,131.0,86.36
Rep13,164,EA,120.0,280.08
Rep13,151,CS,1.0,170.09
Rep13,134,CS,1.0,40.5
Rep13,405,CS,8.0,257.6
Rep13,802,CS,2.0,63.78
Rep13,723,CS,1.0,97.75
Rep13,281,CS,2.0,81.0
Rep13,164,CS,2.0,233.4
Rep13,138,CS,1.0,40.5
Rep13,298,CS,17.0,560.15
Rep13,695,CS,1.0,67.0
Rep13,909,EA,30.0,860.01
Rep13,696,BX,3.0,38.44
Rep13,406,CS,4.0,118.6
Rep13,510,CS,0.0,0.0
Rep13,907,EA,3.0,23.85
Rep13,163,CS,4.0,466.8
Rep13,697,EA,159.0,43.46
Rep13,150,CS,1.0,193.2
Rep13,460,CS,1.0,78.7
Rep13,715,EA,63.0,121.35999999999999
Rep13,407,CS,1.0,147.4
Rep14,406,CS,5.0,148.25
Rep14,696,BX,10.0,128.13
Rep14,766,CS,1.0,56.3
Rep14,407,EA,18.0,26.54
Rep14,911,CS,2.0,259.4
Rep14,911,EA,6.0,77.82000000000001
Rep14,985,CS,4.0,1743.0
Rep14,904,CS,7.0,552.65
Rep14,716,CS,2.0,90.4
Rep14,153,CS,2.0,306.2
Rep14,298,EA,15.0,9.89
Rep14,283,CS,1.0,40.5
Rep14,143,CS,4.0,184.0
Rep14,281,CS,1.0,40.5
Rep14,405,CS,14.0,450.8
Rep14,298,CS,6.0,197.7
Rep15,907,EA,7.0,55.650000000000006
Rep15,4604,CS,1.0,43.0
Rep15,905,EA,8.0,30.84
Rep15,501,BX,9.0,89.09000000000002
Rep15,282,CS,1.0,40.5
Rep15,283,CS,1.0,40.5
Rep15,151,CS,5.0,850.45
Rep15,905,CS,2.0,77.1
Rep15,384,CS,2.0,245.0
Rep15,723,EA,50.0,97.75
Rep15,213,CS,7.0,351.4
Rep15,281,CS,3.0,121.5
Rep15,696,BX,25.0,320.27000000000004
Rep15,280,CS,1.0,40.5
Rep15,279,CS,1.0,40.5
Rep15,795,EA,996.0,41.480000000000004
Rep15,134,CS,1.0,40.5
Rep15,143,CS,14.0,644.0
Rep15,405,EA,5.0,6.71
Rep15,795,CS,7.0,291.55
Rep15,164,CS,5.0,583.5
Rep15,510,CS,2.0,124.1
Rep15,142,CS,2.0,76.2
Rep15,298,CS,13.0,428.35
Rep15,298,EA,50.0,32.95
Rep15,408,CS,5.0,392.5
Rep15,696,CS,7.0,538.16
Rep15,911,EA,38.0,492.8600000000001
Rep15,911,CS,17.0,2204.9
Rep15,408,EA,182.0,285.74
Rep15,284,CS,2.0,81.0
